,name,capital,region,lat,long,population,alpha3Code
83,Georgia,Tbilisi,Asia,42.0,43.5,3720400,GEO
84,Germany,Berlin,Europe,51.0,9.0,81770900,DEU
85,Ghana,Accra,Africa,8.0,-2.0,27670174,GHA
86,Gibraltar,Gibraltar,Europe,36.13333333,-5.35,33140,GIB
87,Greece,Athens,Europe,39.0,22.0,10858018,GRC
88,Greenland,Nuuk,Americas,72.0,-40.0,55847,GRL
89,Grenada,St. George's,Americas,12.11666666,-61.66666666,103328,GRD
90,Guadeloupe,Basse-Terre,Americas,16.25,-61.583333,400132,GLP
91,Guam,Hagåtña,Oceania,13.46666666,144.78333333,184200,GUM
92,Guatemala,Guatemala City,Americas,15.5,-90.25,16176133,GTM
93,Guernsey,St. Peter Port,Europe,49.46666666,-2.58333333,62999,GGY
94,Guinea,Conakry,Africa,11.0,-10.0,12947000,GIN
95,Guinea-Bissau,Bissau,Africa,12.0,-15.0,1547777,GNB
96,Guyana,Georgetown,Americas,5.0,-59.0,746900,GUY
97,Haiti,Port-au-Prince,Americas,19.0,-72.41666666,11078033,HTI
98,Heard Island and McDonald Islands,,,-53.1,72.51666666,0,HMD
99,Holy See,Rome,Europe,41.9,12.45,451,VAT
100,Honduras,Tegucigalpa,Americas,15.0,-86.5,8576532,HND
101,Hong Kong,City of Victoria,Asia,22.25,114.16666666,7324300,HKG
102,Hungary,Budapest,Europe,47.0,20.0,9823000,HUN
103,Iceland,Reykjavík,Europe,65.0,-18.0,334300,ISL
104,India,New Delhi,Asia,20.0,77.0,1295210000,IND
105,Indonesia,Jakarta,Asia,-5.0,120.0,258705000,IDN
106,Côte d'Ivoire,Yamoussoukro,Africa,8.0,-5.0,22671331,CIV
107,Iran (Islamic Republic of),Tehran,Asia,32.0,53.0,79369900,IRN
108,Iraq,Baghdad,Asia,33.0,44.0,37883543,IRQ
109,Ireland,Dublin,Europe,53.0,-8.0,6378000,IRL
110,Isle of Man,Douglas,Europe,54.25,-4.5,84497,IMN
111,Israel,Jerusalem,Asia,31.5,34.75,8527400,ISR
112,Italy,Rome,Europe,42.83333333,12.83333333,60665551,ITA
113,Jamaica,Kingston,Americas,18.25,-77.5,2723246,JAM
114,Japan,Tokyo,Asia,36.0,138.0,126960000,JPN
115,Jersey,Saint Helier,Europe,49.25,-2.16666666,100800,JEY
